Бренд,Модель,Тип,Пол,Размер,Цвет,Материал,Цена в долларах
Nike,Air Jordan 1,Basketball,Men,10,Red/Black,Leather,170
Adidas,Ultra Boost 21,Running,Men,"9,5",Black,Primeknit,180
Reebok,Classic Leather,Casual,Men,11,White,Leather,75
Converse,Chuck Taylor,Casual,Women,8,Navy,Canvas,55
Puma,Future Rider,Lifestyle,Women,"7,5",Pink,Mesh,80
Vans,Old Skool,Skate,Men,"8,5",Black/White,Suede/Canvas,65
New Balance,990v5,Running,Women,"6,5",Grey,Suede/Mesh,175
Asics,Gel-Kayano 28,Running,Men,"10,5",Blue,Mesh,160
Fila,Disruptor II,Fashion,Women,9,White,Leather/Synthetic,65
Skechers,Go Run Razor 3,Running,Men,9,Black,Mesh,110
Nike,Air Max 270,Running,Women,7,Pink,Mesh,150
Adidas,Stan Smith,Casual,Men,9,White/Green,Leather,80
Reebok,Club C 85,Casual,Women,"8,5",Pink,Leather,70
Converse,One Star,Skate,Men,10,Black,Suede,75
Puma,RS-Fast,Lifestyle,Men,"9,5",Yellow,Leather/Synthetic,110
Vans,Authentic,Skate,Women,6,White,Canvas,50
New Balance,Fresh Foam 1080v11,Running,Men,"11,5",Blue,Mesh,150
Asics,Gel-Nimbus 23,Running,Women,8,Purple,Mesh,150
Fila,Ray Tracer,Fashion,Men,10,Black,Synthetic,70
Skechers,Arch Fit,Walking,Women,"7,5",Grey,Mesh,70
Nike,Air Force 1,Casual,Men,10,White,Leather,90
Adidas,NMD_R1,Running,Women,"8,5",Black/Pink,Primeknit,140
Reebok,Zig Kinetica II,Running,Men,11,White,Mesh,120
Converse,Jack Purcell,Casual,Women,"7,5",Navy,Canvas,65
Puma,Calibrate Runner,Running,Men,"9,5",Black,Mesh,80
Vans,Sk8-Hi,Skate,Women,8,Black/White,Suede/Canvas,70
New Balance,327,Lifestyle,Men,10,Blue/Orange,Suede/Mesh,90
Asics,Gel-Quantum 180,Running,Women,9,Grey,Mesh/Synthetic,120
Fila,Mindblower,Fashion,Men,"8,5",White,Leather/Synthetic,75
Skechers,D'Lites,Walking,Women,7,Black,Synthetic,65
Nike,Air Max 2090,Running,Men,9,Grey,Mesh,150
Adidas,Adizero Adios 5,Running,Women,"7,5",Blue,Mesh,170
Reebok,Nano 9,Cross-training,Men,10,Black,Mesh/Synthetic,130
Converse,Chuck 70,Casual,Women,9,Pink,Canvas,85
Puma,Future Rider Play,Lifestyle,Men,9,Black/Red,Synthetic,90
Vans,Slip-On,Skate,Women,7,Checkered,Canvas,50
New Balance,574,Casual,Men,9,Black/Grey,Suede/Textile,80
Asics,Gel-Kayano 27,Running,Women,"8,5",Purple,Mesh/Synthetic,160
Fila,Venom,Fashion,Men,"9,5",White/Red,Leather/Synthetic,65
Skechers,Go Walk 5,Walking,Women,"7,5",Black,Mesh,60
Nike,Air Force 1,Casual,Men,11,White,Leather,90
Adidas,NMD_R1,Running,Women,9,Black,Knit,140
Reebok,Zig Kinetica II,Running,Men,"9,5",White,Mesh,120
Converse,Jack Purcell,Casual,Men,10,White,Canvas,65
Puma,Suede Classic,Casual,Women,"8,5",Beige,Suede,65
Vans,Sk8-Hi,Skate,Men,8,Black/White,Suede/Canvas,70
New Balance,327,Casual,Women,"7,5",Orange,Suede/Mesh,100
Asics,Gel-Kayano 28,Running,Women,7,White,Mesh,160
Fila,Original Fitness,Casual,Men,11,White/Navy,Leather,70
Skechers,Go Walk 5,Walking,Women,8,Black,Mesh,60
Nike,Free RN 5.0,Running,Men,10,Grey,Mesh,100
Adidas,Adilette Cloudfoam,Slides,Women,6,Black,Synthetic,35
Reebok,Nano 9,Crossfit,Men,"10,5",Black,Mesh,130
Converse,Chuck 70,Casual,Women,"7,5",Pink,Canvas,85
Puma,Clyde All Pro,Basketball,Men,"9,5",Black/Red,Leather,130
Vans,Era,Skate,Women,"6,5",White,Canvas,55
New Balance,Fresh Foam More v2,Running,Men,12,Black/Grey,Mesh,165
Asics,GT-2000 10,Running,Women,7,Blue,Mesh,120
Fila,Mindblower,Casual,Men,"9,5",White/Blue,Leather/Synthetic,75
Skechers,Dynamight 2.0,Training,Women,9,Black,Mesh,50
Nike,Air Force 1,Basketball,Men,11,White,Leather,90
Adidas,NMD_R1,Lifestyle,Women,7,Pink,Primeknit,130
Reebok,Nano X1,Training,Men,9,Black,Knit,130
Converse,Chuck 70,Casual,Women,"8,5",Yellow,Canvas,85
Puma,Clyde All-Pro,Basketball,Men,10,Red,Leather,130
Vans,Sk8-Hi,Skate,Women,7,Black,Suede,70
New Balance,Fresh Foam 1080v11,Running,Women,8,Green,Mesh,150
Asics,Gel-Quantum 360,Running,Men,11,Blue,Mesh,170
Fila,D-Formation,Casual,Women,"8,5",White,Leather,65
Skechers,Max Cushioning,Running,Men,"8,5",Black,Mesh,90
Nike,Air Max 90,Lifestyle,Women,6,Grey,Leather,120
Adidas,Yeezy Boost 350,Lifestyle,Men,10,Black,Primeknit,220
Reebok,Classic Nylon,Casual,Women,"7,5",Pink,Nylon,65
Converse,Jack Purcell,Casual,Men,9,White,Canvas,65
Puma,Calibrate Runner,Running,Women,9,Grey,Mesh,120
Vans,Era,Skate,Men,"9,5",Red,Canvas,50
New Balance,FuelCell Echo,Running,Women,7,Pink,Mesh,100
Asics,GT-2000 9,Running,Men,"10,5",Black,Mesh,120
Fila,Original Fitness,Casual,Women,7,White,Leather,60
Skechers,Elite Flex,Walking,Men,10,Navy,Mesh,65
Nike,Blazer Low,Lifestyle,Women,"7,5",White,Leather,85
Nike,Air Force 1,Basketball,Men,10,White,Leather,90
Adidas,NMD_R1,Lifestyle,Men,"8,5",Black,Primeknit,140
Reebok,Nano X1,Training,Women,"7,5",Grey,Flexweave,130
Converse,Jack Purcell,Casual,Men,9,White,Canvas,65
Puma,Clyde All-Pro,Basketball,Men,11,Red/White,Leather,120
Vans,SK8-Hi,Skate,Women,6,Black,Suede/Canvas,70
New Balance,574,Casual,Men,10,Navy,Suede/Mesh,80
Asics,Gel-Lyte III NS,Casual,Women,8,Pink,Mesh,100
Fila,Mindblower,Fashion,Men,"9,5",White,Leather/Synthetic,75
Skechers,Max Cushioning,Running,Women,7,Black,Mesh,75
Nike,React Infinity Run Flyknit 2,Running,Men,"9,5",Blue,Flyknit,160
Adidas,Harden Stepback,Basketball,Men,12,Grey,Synthetic,80
Reebok,Classic Nylon,Casual,Women,"7,5",Black,Nylon,65
Converse,Chuck 70,Casual,Men,8,Yellow,Canvas,85
Puma,Calibrate Runner,Running,Men,"10,5",Black/Yellow,Mesh,80
Vans,Era,Skate,Women,7,Green,Canvas,55
New Balance,FuelCell Propel V3,Running,Women,"6,5",Purple,Mesh,100
Asics,Gel-Kayano 28 Lite-Show,Running,Men,11,Black,Mesh,170
Fila,Trailblazer,Fashion,Women,8,White/Pink,Leather,65
Skechers,Summits - Quick Getaway,Walking,Men,9,Grey,Mesh,60
Nike,Air Zoom Tempo NEXT% FlyEase,Running,Women,"8,5",White,Mesh,200
Nike,React Infinity Run 2,Running,Women,"7,5",Grey,Mesh,160
Adidas,Superstar,Casual,Men,"8,5",Black/White,Leather,80
Reebok,Zig Kinetica Horizon,Running,Women,"6,5",Blue,Mesh,120
Converse,Chuck 70,Casual,Men,9,White,Canvas,85
Puma,Cali Sport,Lifestyle,Women,"9,5",White,Leather,90
Vans,Sk8-Hi,Skate,Men,10,Black/White,Suede/Canvas,70
New Balance,990v5,Running,Men,"9,5",Grey,Suede/Mesh,175
Asics,Gel-Venture 8,Trail,Women,"8,5",Blue,Mesh,70
Fila,Mindblower,Fashion,Men,11,White,Synthetic,75
Skechers,Go Run Mojo,Running,Women,7,Black,Mesh,60
Nike,Air Zoom Pegasus 38,Running,Men,11,Black,Mesh,120
Adidas,Ultraboost 5.0 DNA,Running,Women,"8,5",Grey,Primeknit,180
Reebok,Classic Leather Legacy,Casual,Men,"9,5",White,Leather,80
Converse,Jack Purcell,Casual,Women,6,Navy,Canvas,65
Puma,RS-Fast Tech,Lifestyle,Men,"9,5",Black/Red,Synthetic,110
Vans,Era,Skate,Women,"7,5",Black/White,Canvas,50
New Balance,Fresh Foam Roav,Running,Men,10,Red,Mesh,80
Asics,GT-2000 10,Running,Women,9,Black,Mesh,120
Fila,Original Fitness,Fashion,Men,10,White,Leather,60
Skechers,Max Cushioning Elite,Walking,Women,8,Navy,Mesh,80
Nike,Air Force 1 '07,Basketball,Men,11,White,Leather,90
Adidas,NMD_R1,Running,Women,8,Pink,Primeknit,140
Reebok,Nano 9,Training,Men,"9,5",Black/White,Mesh,130
Converse,Jack Purcell,Casual,Women,"7,5",White,Canvas,65
Puma,Calibrate Runner,Running,Men,10,Black/Grey,Mesh/Synthetic,90
Vans,Sk8-Hi,Skate,Women,9,Black/White,Canvas,65
New Balance,FuelCell Rebel v2,Running,Men,"9,5",Blue/White,Mesh,130
Asics,Gel-Kinsei OG,Running,Women,"7,5",White/Grey,Mesh/Leather,180
Fila,Spaghetti,Fashion,Men,8,White/Navy,Leather/Synthetic,65
Skechers,Go Walk 5,Walking,Women,"6,5",Black,Mesh,60
Nike,ZoomX Invincible Run,Running,Men,11,Black,Mesh/Synthetic,180
Adidas,Ultraboost DNA,Running,Women,8,Grey,Primeknit,180
Reebok,Classic Nylon,Casual,Men,"10,5",Black,Nylon,60
Converse,Run Star Hike,Casual,Women,8,Cream,Canvas,110
Puma,Suede Classic+,Casual,Men,8,Red/White,Suede,65
Vans,Era,Skate,Women,"7,5",Green,Canvas,50
New Balance,Fresh Foam More v3,Running,Men,11,Black/Grey,Mesh/Synthetic,165
Asics,Gel-Quantum 90 3,Running,Women,9,Pink,Mesh/Synthetic,90
Fila,Original Fitness,Casual,Men,"9,5",White/Navy/Red,Leather,60
Skechers,Go Run Mojo Pep,Running,Women,"8,5",Black/White,Mesh,55
Nike,Air Force 1,Casual,Men,11,White,Leather,90
Adidas,NMD_R1,Running,Women,"8,5",Pink,Primeknit,130
Reebok,Zig Kinetica II,Running,Men,9,Blue,Mesh,120
Converse,Chuck 70,Casual,Women,7,Black,Canvas,85
Puma,Clyde All-Pro,Basketball,Men,10,White,Leather,130
Vans,Sk8-Hi,Skate,Women,9,Black/White,Suede/Canvas,65
New Balance,574 Classic,Casual,Men,"10,5",Grey,Suede/Mesh,80
Asics,Gel-Quantum 90 3,Running,Women,"7,5",Black,Mesh,70
Fila,Mindblower,Fashion,Men,11,Grey,Leather/Synthetic,75
Skechers,Max Cushioning Premier,Running,Women,"7,5",Pink,Mesh,90
Nike,Blazer Mid '77,Casual,Men,"9,5",White,Leather,100
Adidas,Superstar,Casual,Women,"7,5",Black/White,Leather,85
Reebok,DMX Thrill,Running,Men,10,Black,Mesh,70
Converse,Jack Purcell,Casual,Women,"8,5",White,Canvas,65
Puma,Calibrate Runner,Running,Men,"9,5",Black/Yellow,Mesh,140
Vans,Slip-On,Skate,Women,"6,5",Checkered,Canvas,50
New Balance,Fresh Foam Beacon V3,Running,Men,11,Blue,Mesh,120
Asics,Gel-Venture 8,Trail,Women,"9,5",Grey,Mesh,70
Fila,F-13,Fashion,Men,10,White,Leather,70
Skechers,Equalizer 4.0,Training,Women,"8,5",Black,Mesh,65
Nike,KD13,Basketball,Men,11,Blue,Mesh,150
Nike,React Infinity Run Flyknit 2,Running,Women,"9,5",Black/White,Flyknit,160
Adidas,NMD_R1,Lifestyle,Men,"11,5",Grey,Primeknit,140
Reebok,Aztrek 96,Casual,Women,"8,5",Yellow/Black,Leather/Synthetic,90
Converse,Jack Purcell,Casual,Men,9,Navy/White,Canvas,70
Puma,Calibrate Runner,Running,Men,10,Black,Mesh,100
Vans,Sk8-Hi,Skate,Women,"7,5",Black/White,Suede/Canvas,65
New Balance,327,Casual,Men,10,Green,Suede/Leather,90
Asics,GT-2000 10,Running,Women,8,Blue,Mesh,120
Fila,Trailblazer,Fashion,Men,9,White/Grey,Leather,85
Skechers,Max Cushioning Premier,Running,Women,7,Grey/Pink,Mesh,105
Nike,Blazer Mid '77,Casual,Men,"8,5",Green,Leather,100
Adidas,Ultraboost 6.0,Running,Women,"7,5",Black/White,Primeknit,180
Reebok,Classic Nylon,Casual,Men,"11,5",Blue/White,Nylon,60
Converse,Pro Leather,Casual,Women,"9,5",White/Green,Leather,75
Puma,Clyde All-Pro,Basketball,Men,"9,5",Black,Leather/Synthetic,130
Vans,Era 95 DX,Skate,Women,"6,5",Black/White,Canvas,65
New Balance,Fresh Foam More v3,Running,Men,10,Black/Grey,Mesh,165
Asics,Gel-Quantum 360 6,Running,Women,9,Grey/Green,Mesh,180
Fila,Spaghetti,Basketball,Men,"10,5",White,Leather,75
Skechers,Uno Bold Move,Casual,Women,"8,5",Black/White,Synthetic,70
Nike,Air Force 1,Basketball,Men,10,White,Leather,100
Adidas,NMD_R1,Lifestyle,Women,8,Grey,Primeknit,140
Reebok,Nano X1,Training,Men,"9,5",Black,Knit,130
Converse,Jack Purcell,Casual,Women,"6,5",Navy,Canvas,65
Puma,Calibrate Runner,Running,Men,11,Black,Mesh,80
Vans,Sk8-Hi,Skate,Women,"7,5",Black/White,Canvas/Suede,70
New Balance,327,Lifestyle,Men,10,Beige,Suede/Mesh,100
Asics,Gel-Excite 8,Running,Women,9,Pink,Mesh,75
Fila,Memory Fresh 2,Walking,Men,10,White,Synthetic,60
Skechers,Energy Burst,Running,Women,8,Black,Mesh,70
Nike,Flyknit Trainer,Running,Men,10,Black/White,Flyknit,150
Adidas,Ultraboost 4.0,Running,Women,7,Blue,Primeknit,180
Reebok,Floatride Energy,Running,Men,"10,5",Grey,Mesh,100
Converse,Chuck 70 High,Casual,Women,9,Pink,Canvas,85
Puma,Clyde All-Pro,Basketball,Men,9,White,Leather,130
Vans,Era,Skate,Women,"8,5",Black,Canvas,50
New Balance,Fresh Foam Beacon v3,Running,Men,12,Blue,Mesh,120
Asics,Gel-Kayano 27,Running,Women,"8,5",Black,Mesh,160
Fila,Trailblazer,Fashion,Men,11,Black,Leather,75
Skechers,Equalizer 4.0,Walking,Women,7,Grey,Mesh,60
Nike,Blazer Mid '77,Casual,Men,"9,5",White/Red/Navy,Leather,100
Adidas,Superstar,Casual,Women,"7,5",White/Black,Leather,80
Reebok,Zig Kinetica,Running,Men,"11,5",White/Black,Mesh,120
Converse,Jack Purcell,Casual,Men,"8,5",White/Navy,Canvas,70
Puma,Suede Classic,Casual,Women,"8,5",Pink,Suede,65
Vans,Sk8-Hi,Skate,Men,10,Black/White,Canvas,70
New Balance,Fresh Foam More,Running,Women,9,Grey/Purple,Mesh,165
Asics,Gel-Kayano 27,Running,Men,"10,5",Black/Green,Mesh,160
Fila,Trailblazer,Fashion,Women,7,Cream,Synthetic,75
Skechers,D'Lites Fresh Start,Walking,Men,"9,5",White/Black,Leather,70
Nike,Air Force 1,Casual,Women,"8,5",White/Red,Leather,90
Adidas,NMD_R1,Casual,Men,9,Black/White,Primeknit,130
Reebok,Club C 85 MU,Casual,Men,11,White/Black,Leather,75
Converse,Chuck 70,Casual,Women,"8,5",Cream,Canvas,85
Puma,Calibrate Runner,Running,Men,"8,5",Black/Blue,Mesh,120
Vans,Era,Skate,Women,7,Pink/White,Canvas,50
New Balance,FuelCell Propel v2,Running,Men,9,Blue/Green,Mesh,100
Asics,Gel-Cumulus 23,Running,Women,"8,5",Pink/White,Mesh,120
Fila,Mindblower,Fashion,Men,10,White/Black,Synthetic,75
Nike,Air Force 1,Casual,Men,11,White,Leather,90
Adidas,NMD_R1,Lifestyle,Women,8,Pink,Primeknit,140
Reebok,Nano X1,Training,Men,"9,5",Grey,Knit,130
Converse,All Star Hi,Casual,Women,7,Black,Canvas,60
Puma,Calibrate Runner,Running,Men,"10,5",Blue,Mesh,90
Vans,Sk8-Hi,Skate,Women,6,Red/White,Canvas,70
New Balance,327,Lifestyle,Men,"8,5",Green,Suede/Mesh,100
Asics,Gel-Quantum 180,Running,Women,"7,5",Grey,Mesh,120
Fila,Mindblower,Fashion,Men,9,White,Leather,70
Skechers,Max Cushioning,Walking,Women,9,Black,Mesh,75
Nike,React Infinity Run Flyknit,Running,Men,12,Black,Flyknit,160
Adidas,Adilette Comfort,Slides,Women,6,Black,Synthetic,35
Reebok,Classic Nylon,Casual,Men,10,Grey,Nylon,65
Converse,Chuck 70,Casual,Women,8,Cream,Canvas,85
Puma,RS-X3 Puzzle,Lifestyle,Men,"8,5",Black/Yellow,Synthetic,110
Vans,Era,Skate,Women,7,Pink,Canvas,55
New Balance,990v4,Running,Men,"9,5",Grey,Suede/Mesh,175
Asics,GT-2000 10,Running,Women,9,Blue,Mesh,120
Fila,D-Formation,Fashion,Men,11,White,Leather,65
Skechers,Equalizer 4.0,Training,Women,"8,5",Black,Knit,70
Nike,Air Zoom Pegasus 38,Running,Men,"10,5",Blue,Mesh,120
Nike,Air Force 1 '07,Basketball,Men,11,White,Leather,90
Adidas,Yeezy Boost 350 V2,Fashion,Men,9,Zebra,Primeknit,220
Reebok,Nano X1 Adventure,Training,Men,10,Khaki,Textile/Leather,130
Converse,Jack Purcell Low,Casual,Women,"7,5",Pink,Canvas,65
Puma,Clyde All-Pro,Basketball,Men,"10,5",Black/White,Leather/Suede,130
Vans,Sk8-Hi,Skate,Women,9,Checkerboard,Canvas,70
New Balance,Fresh Foam Hierro v6,Trail,Men,"9,5",Grey/Yellow,Synthetic/Mesh,135
Asics,Gel-Quantum 180 5,Running,Women,8,Pink,Mesh,120
Fila,D-Formation,Fashion,Men,11,Black,Leather,65
Skechers,Arch Fit Refine,Walking,Women,"6,5",Navy,Mesh,65
Nike,Air Zoom Pegasus 38,Running,Men,12,Blue,Mesh,120
Adidas,NMD_R1,Casual,Women,"8,5",Pink,Primeknit,130
Reebok,Floatride Energy 3,Running,Men,9,Black,Mesh,100
Converse,Chuck 70 High,Casual,Men,12,Green,Canvas,85
Puma,Calibrate Runner,Running,Women,9,White,Mesh,90
Vans,Era,Skate,Men,"8,5",Black,Canvas,50
New Balance,FuelCell Rebel v2,Running,Women,"7,5",Orange,Mesh,130
Asics,Gel-Cumulus 23,Running,Men,11,Grey,Mesh,120
Fila,Mindblower,Fashion,Women,7,White,Leather/Synthetic,65
Skechers,GOrun Mojo 2.0,Running,Men,8,Black,Mesh,60
Nike,Air Force 1,Basketball,Men,11,White,Leather,90
Adidas,NMD_R1,Running,Women,"8,5",Pink,Knit,140
Reebok,ZigWild Trail 7,Trail,Men,"9,5",Black,Mesh/Synthetic,110
Converse,Jack Purcell,Casual,Women,7,Blue,Canvas,65
Puma,Calibrate Runner,Running,Men,10,Grey,Mesh,90
Vans,SK8-Hi,Skate,Women,"6,5",Black/White,Canvas/Leather,70
New Balance,FuelCell Rebel v2,Running,Women,7,White/Pink,Mesh,110
Asics,Gel-Kahana 8,Running,Men,8,Grey,Mesh,85
Fila,Mindblower,Fashion,Women,"7,5",White/Pink,Leather/Synthetic,65
Skechers,Max Cushioning,Running,Men,11,Black,Mesh,85
Nike,Air Max 2090,Running,Men,12,Black,Mesh/Synthetic,150
Adidas,Superstar,Casual,Women,"9,5",White/Black,Leather,85
Reebok,Nano 9,Training,Men,10,Blue,Synthetic,130
Converse,Pro Leather,Casual,Men,"9,5",White/Green,Leather,80
Puma,RS-X³,Lifestyle,Women,"8,5",Pink,Mesh,110
Vans,Slip-On,Casual,Men,"10,5",Black/White,Canvas,50
New Balance,Fresh Foam More v3,Running,Men,12,Black/Grey,Mesh,165
Asics,GT-1000 9,Running,Women,"6,5",Blue,Mesh,90
Fila,T1 Mid,Casual,Men,11,White,Leather,65
Skechers,Go Walk 5,Walking,Women,"8,5",Black,Mesh,60
Nike,Blazer Mid '77,Casual,Men,"8,5",Green,Leather,100
Nike,Air Force 1,Casual,Men,"9,5",White,Leather,90
Adidas,NMD_R1,Lifestyle,Women,7,Black/Pink,Knit,140
Reebok,Nano X1,Crossfit,Men,10,Black,Mesh,130
Converse,Chuck 70,Casual,Women,"8,5",Ivory,Canvas,85
Puma,Calibrate,Running,Men,"8,5",Grey,Mesh,130
Vans,SK8-Hi,Skate,Men,"9,5",Black/White,Canvas,70
New Balance,574,Casual,Women,7,Pink,Suede,80
Asics,Gel-Quantum 180 6,Running,Men,11,Black,Mesh,120
Fila,Mindblower,Fashion,Women,8,White,Leather/Synthetic,65
Skechers,Max Cushioning,Running,Women,"7,5",Black,Mesh,90
Nike,Free RN Flyknit,Running,Men,10,Blue,Knit,130
Adidas,Adizero Boston 9,Running,Women,"6,5",Black,Mesh,120
Reebok,Zig Kinetica II,Running,Men,9,Blue,Mesh,120
Converse,Run Star Hike,Casual,Women,"8,5",White,Canvas,110
Puma,Ralph Sampson,Casual,Men,11,White/Green,Leather,80
Vans,Era,Skate,Women,7,Black,Canvas,55
New Balance,990v4,Running,Men,"10,5",Grey,Suede/Mesh,175
Asics,Gel-Kayano 27,Running,Women,9,Black,Mesh,160
Fila,D-Formation,Fashion,Men,9,White,Leather,70
Skechers,D'Lites,Walking,Women,8,White,Leather,65
Nike,Air Max 2090,Running,Men,9,Grey,Synthetic,150
Nike,Air Force 1 Low,Casual,Men,"9,5",White,Leather,90
Adidas,NMD_R1,Lifestyle,Women,"7,5",Pink/White,Primeknit,130
Reebok,Zig Kinetica II,Running,Men,11,Black,Mesh,120
Converse,Chuck 70 High,Casual,Men,"8,5",Cream,Canvas,85
Puma,Calibrate Runner,Running,Women,8,Black,Mesh,90
Vans,Sk8-Hi,Skate,Men,10,Black/White,Suede/Canvas,70
New Balance,327,Lifestyle,Women,"6,5",White/Green,Suede/Mesh,90
Asics,Gel-Quantum 90,Running,Men,10,Blue,Mesh,90
Fila,Original Fitness,Fashion,Women,"7,5",White/Navy,Leather/Synthetic,65
Skechers,Go Walk 5,Walking,Men,9,Grey,Mesh,65
Nike,React Infinity Run Flyknit,Running,Women,8,Black,Flyknit,160
Adidas,Superstar,Casual,Men,"8,5",White/Black,Leather,85
Reebok,Nano 9,Crossfit,Women,7,Grey,Mesh,130
Converse,Run Star Hike,Casual,Women,9,White,Canvas,100
Puma,RS-2K,Lifestyle,Men,10,White,Leather/Synthetic,120
Vans,Era,Skate,Women,"6,5",Black/White,Canvas,50
New Balance,FuelCell Propel v3,Running,Men,"9,5",Blue/Orange,Mesh,100
Asics,Gel-Kinsei OG,Running,Women,"8,5",White/Black,Mesh,180
Fila,Trigate,Fashion,Men,"9,5",White/Navy/Red,Synthetic,60
Skechers,Summits,Walking,Women,"7,5",Black/Pink,Mesh,60
Nike,Air Force 1 Low,Casual,Men,9,White,Leather,90
Adidas,NMD_R1,Lifestyle,Women,7,Pink,Primeknit,140
Reebok,Zig Kinetica,Running,Men,11,Black,Mesh,120
Converse,Chuck 70,Casual,Men,8,Grey,Canvas,85
Puma,Clyde All-Pro,Basketball,Men,"10,5",White,Leather,130
Vans,SK8-Hi,Skate,Women,7,Black/White,Suede/Canvas,70
New Balance,990v2,Running,Men,10,Grey,Suede/Mesh,175
Asics,Gel-Quantum 360 6,Running,Women,8,Black,Mesh,150
Fila,Original Fitness,Casual,Men,9,White/Navy,Leather,60
Skechers,Max Cushioning Premier,Running,Men,"8,5",Grey,Mesh,90
Nike,Blazer Mid,Casual,Women,"7,5",Red,Leather,100
Adidas,Superstar,Casual,Men,10,White/Black,Leather,80
Reebok,Classic Nylon,Casual,Women,8,Black/White,Nylon/Suede,65
Converse,All Star Pro BB,Basketball,Men,11,Black,Canvas,120
